0.25	0.25	0.25	0.25	
0.21875	0.34375	0.21875	0.21875	
0.191406	0.300781	0.191406	0.316406	
0.29248	0.263184	0.16748	0.276855	
0.255859	0.355225	0.146484	0.242432	
0.223877	0.435791	0.128174	0.212158	
0.195801	0.381348	0.237061	0.185791	
0.296143	0.33374	0.20752	0.162598	
0.259033	0.416992	0.181641	0.142334	
0.351562	0.364746	0.158936	0.124756	
0.307617	0.444092	0.138916	0.109375	
0.269043	0.513672	0.121582	0.0957031	
0.235352	0.574463	0.106445	0.0837402	
0.330811	0.502686	0.0930176	0.0734863	
0.414307	0.439941	0.0812988	0.0644531	
0.362305	0.38501	0.196289	0.0563965	
0.441895	0.336914	0.171631	0.0495605	
0.511475	0.294922	0.150146	0.043457	
0.44751	0.258057	0.131348	0.163086	
0.516357	0.22583	0.11499	0.142822	
0.45166	0.322754	0.100586	0.125	
0.39502	0.407471	0.0881348	0.109375	
0.345459	0.356689	0.202148	0.0957031	
0.302246	0.312012	0.302002	0.0837402	
0.264404	0.397949	0.26416	0.0734863	
0.231201	0.348145	0.231201	0.189453	
0.327148	0.304688	0.202393	0.165771	
0.286133	0.266602	0.302002	0.145264	
0.250244	0.358398	0.26416	0.127197	
0.21875	0.438721	0.231201	0.111328	
0.191406	0.508789	0.202393	0.0974121	
0.16748	0.445068	0.302002	0.0854492	
0.146484	0.514404	0.26416	0.0749512	
0.128174	0.449951	0.356201	0.0656738	
0.112061	0.393799	0.311523	0.182617	
0.0979004	0.344727	0.397461	0.159912	
0.0854492	0.426758	0.347656	0.140137	
0.074707	0.373291	0.304199	0.247803	
0.190186	0.32666	0.266113	0.217041	
0.16626	0.285889	0.23291	0.314941	
0.145264	0.375244	0.203857	0.275635	
0.126953	0.453369	0.178467	0.241211	
0.111084	0.521484	0.15625	0.211182	
0.097168	0.456299	0.261719	0.184814	
0.0849609	0.52417	0.229004	0.161865	
0.0742188	0.45874	0.325195	0.141846	
0.0649414	0.401367	0.409424	0.124268	
0.181641	0.351318	0.358154	0.108887	
0.283936	0.307373	0.313232	0.095459	
0.248291	0.269043	0.398926	0.0837402	
0.217041	0.235596	0.473877	0.0734863	
0.314697	0.206299	0.414551	0.0644531	
0.400146	0.180664	0.362793	0.0563965	
0.350098	0.157959	0.317383	0.174561	
0.431152	0.138184	0.277832	0.152832	
0.502197	0.12085	0.243164	0.133789	
0.439209	0.230957	0.212646	0.117188	
0.384277	0.201904	0.186279	0.227539	
0.336182	0.176514	0.163086	0.324219	
0.293945	0.154541	0.267822	0.283691	
0.25708	0.260254	0.234375	0.248291	
0.349854	0.227783	0.205078	0.217285	
0.430908	0.199463	0.179443	0.190186	
0.376953	0.174561	0.156982	0.291504	
0.329834	0.277588	0.137451	0.255127	
0.288574	0.36792	0.120117	0.223389	
0.252441	0.321777	0.230225	0.195557	
0.220703	0.281738	0.201416	0.296143	
0.193115	0.371338	0.17627	0.259277	
0.168945	0.324951	0.279053	0.227051	
0.272705	0.284424	0.244141	0.19873	
0.238525	0.248779	0.213623	0.299072	
0.208496	0.342773	0.187012	0.261719	
0.182373	0.424805	0.163818	0.229004	
0.159424	0.371826	0.268311	0.200439	
0.139404	0.325439	0.359619	0.175537	
0.121826	0.409912	0.314453	0.153809	
0.106445	0.358643	0.275146	0.259766	
0.0930176	0.438721	0.240967	0.227295	
0.0812988	0.383789	0.335938	0.198975	
0.0710449	0.460693	0.293945	0.174316	
0.187012	0.403076	0.257324	0.152588	
0.163574	0.352539	0.350342	0.133545	
0.143066	0.30835	0.431641	0.116943	
0.125	0.394775	0.377686	0.102539	
0.234375	0.345215	0.330566	0.0898438	
0.205078	0.427002	0.289307	0.0786133	
0.179443	0.373535	0.253174	0.193848	
0.156982	0.45166	0.22168	0.169678	
0.262207	0.395264	0.193848	0.148682	
